autistic,prolific_pid,expression,unique_property,occlusion,set_a_dist_feature,set_a,set_b
No,5d514a73f20feb00160b5e0e,"2 green pentagon, one square",pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5d514a73f20feb00160b5e0e,"2 black triangle, small star",black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5d514a73f20feb00160b5e0e,squares,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5d514a73f20feb00160b5e0e,black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5d514a73f20feb00160b5e0e,"2 blue triangle, one circle",triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5d514a73f20feb00160b5e0e,"blue squares, triangle",blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5e1b2b3e4a955b350b1e0a63,Pentagons ,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5e1b2b3e4a955b350b1e0a63,Two pentagons ,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5e1b2b3e4a955b350b1e0a63,Green squares ,square,yes,type,"two, small, green, square","one, big, pink, star"
No,5e1b2b3e4a955b350b1e0a63,Big circles ,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5e1b2b3e4a955b350b1e0a63,Pink triangles ,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5e1b2b3e4a955b350b1e0a63,Green triangles ,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5e1b2b3e4a955b350b1e0a63,Pink circles ,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5e1b2b3e4a955b350b1e0a63,Not 2 stars and pentagons,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5e1b2b3e4a955b350b1e0a63,Squares ,square,no,type,"two, big, blue, square","one, small, black, star"
No,5e1b2b3e4a955b350b1e0a63,Green squares ,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5e1b2b3e4a955b350b1e0a63,Black squares ,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5e1b2b3e4a955b350b1e0a63,Black pentagons ,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5e1b2b3e4a955b350b1e0a63,Circles ,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5e1b2b3e4a955b350b1e0a63,Black stars ,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5e1b2b3e4a955b350b1e0a63,Pink stars ,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5e1b2b3e4a955b350b1e0a63,Small stars ,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5e1b2b3e4a955b350b1e0a63,Green stars ,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5e1b2b3e4a955b350b1e0a63,Big triangles ,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5e1b2b3e4a955b350b1e0a63,pentagons ,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5e1b2b3e4a955b350b1e0a63,Two black triangles ,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5e1b2b3e4a955b350b1e0a63,Circles ,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5e1b2b3e4a955b350b1e0a63,Black circles ,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5e1b2b3e4a955b350b1e0a63,Blue triangles ,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5e1b2b3e4a955b350b1e0a63,Blue squares ,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5e9acf727a43c80009bab5bf,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5e9acf727a43c80009bab5bf,large pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5e9acf727a43c80009bab5bf,squares,square,yes,type,"two, small, green, square","one, big, pink, star"
No,5e9acf727a43c80009bab5bf,large circles,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5e9acf727a43c80009bab5bf,triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5e9acf727a43c80009bab5bf,green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5e9acf727a43c80009bab5bf,circles,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5e9acf727a43c80009bab5bf,blue stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5e9acf727a43c80009bab5bf,squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,5e9acf727a43c80009bab5bf,squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5e9acf727a43c80009bab5bf,squares,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5e9acf727a43c80009bab5bf,small pentagons,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5e9acf727a43c80009bab5bf,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5e9acf727a43c80009bab5bf,black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5e9acf727a43c80009bab5bf,stars,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5e9acf727a43c80009bab5bf,small stars,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5e9acf727a43c80009bab5bf,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5e9acf727a43c80009bab5bf,large triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5e9acf727a43c80009bab5bf,pentagons,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5e9acf727a43c80009bab5bf,black triangles,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5e9acf727a43c80009bab5bf,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5e9acf727a43c80009bab5bf,black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5e9acf727a43c80009bab5bf,stars,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5e9acf727a43c80009bab5bf,blue squares,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5ecb6acd10d2c36e6124c9bd,pink pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5ecb6acd10d2c36e6124c9bd,big pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5ecb6acd10d2c36e6124c9bd,"two squares, star",square,yes,type,"two, small, green, square","one, big, pink, star"
No,5ecb6acd10d2c36e6124c9bd,"2 big circles, star",big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5ecb6acd10d2c36e6124c9bd,"triangles, square",triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5ecb6acd10d2c36e6124c9bd,green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5ecb6acd10d2c36e6124c9bd,"big pink circles, blue triangle",circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5ecb6acd10d2c36e6124c9bd,blue stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5ecb6acd10d2c36e6124c9bd,squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,5ecb6acd10d2c36e6124c9bd,green squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5ecb6acd10d2c36e6124c9bd,"black squares, green pentagon",square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5ecb6acd10d2c36e6124c9bd,"black pentagons, pink circle","small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5ecb6acd10d2c36e6124c9bd,black circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5ecb6acd10d2c36e6124c9bd,black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5ecb6acd10d2c36e6124c9bd,"2 pink stars, green triangle",star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5ecb6acd10d2c36e6124c9bd,"small green stars, pink square",small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5ecb6acd10d2c36e6124c9bd,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5ecb6acd10d2c36e6124c9bd,big green triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5ecb6acd10d2c36e6124c9bd,"green pentagons, black square",pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5ecb6acd10d2c36e6124c9bd,black triangles,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5ecb6acd10d2c36e6124c9bd,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5ecb6acd10d2c36e6124c9bd,black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5ecb6acd10d2c36e6124c9bd,"2 big triangles, circle",triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5ecb6acd10d2c36e6124c9bd,blue squares,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5edec2b3e095321650bddc22,PENTAGONS,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5edec2b3e095321650bddc22,PENTAGONS,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5edec2b3e095321650bddc22,SQUARES,square,yes,type,"two, small, green, square","one, big, pink, star"
No,5edec2b3e095321650bddc22,BIG,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5edec2b3e095321650bddc22,TRIANGLES,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5edec2b3e095321650bddc22,SMALL TRIANGLES,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5edec2b3e095321650bddc22,CIRCLES,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5edec2b3e095321650bddc22,BLUE,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5edec2b3e095321650bddc22,SQUARES,square,no,type,"two, big, blue, square","one, small, black, star"
No,5edec2b3e095321650bddc22,SQUARES,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5edec2b3e095321650bddc22,SQUARES,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5edec2b3e095321650bddc22,BLACK,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5edec2b3e095321650bddc22,CIRCLES,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5edec2b3e095321650bddc22,BLACK STARS,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5edec2b3e095321650bddc22,STAR,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5edec2b3e095321650bddc22,SMALL STAR,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5edec2b3e095321650bddc22,STARS,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5edec2b3e095321650bddc22,TRIANGLE,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5edec2b3e095321650bddc22,PENTAGONS,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5edec2b3e095321650bddc22,BLACK,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5edec2b3e095321650bddc22,CIRCLES,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5edec2b3e095321650bddc22,BLACK CIRCLES,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5edec2b3e095321650bddc22,TRIANGLES,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5edec2b3e095321650bddc22,BLUE,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5eecd2e3a38fd009dd9d1f3d,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5eecd2e3a38fd009dd9d1f3d,big pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5eecd2e3a38fd009dd9d1f3d,squares,square,yes,type,"two, small, green, square","one, big, pink, star"
No,5eecd2e3a38fd009dd9d1f3d,big circles,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5eecd2e3a38fd009dd9d1f3d,small triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5eecd2e3a38fd009dd9d1f3d,small triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5eecd2e3a38fd009dd9d1f3d,big circles,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5eecd2e3a38fd009dd9d1f3d,big stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5eecd2e3a38fd009dd9d1f3d,squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,5eecd2e3a38fd009dd9d1f3d,big squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5eecd2e3a38fd009dd9d1f3d,small squares,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5eecd2e3a38fd009dd9d1f3d,2 small pentagons,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5eecd2e3a38fd009dd9d1f3d,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5eecd2e3a38fd009dd9d1f3d,black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5eecd2e3a38fd009dd9d1f3d,pink stars,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5eecd2e3a38fd009dd9d1f3d,small stars,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5eecd2e3a38fd009dd9d1f3d,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5eecd2e3a38fd009dd9d1f3d,big triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5eecd2e3a38fd009dd9d1f3d,green pentagons,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5eecd2e3a38fd009dd9d1f3d,black triangles,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5eecd2e3a38fd009dd9d1f3d,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5eecd2e3a38fd009dd9d1f3d,black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5eecd2e3a38fd009dd9d1f3d,"2 triangles, 1 circle",triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5eecd2e3a38fd009dd9d1f3d,blue squares,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5f9968d24377ef035c24dcd6,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5f9968d24377ef035c24dcd6,bigger black pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5f9968d24377ef035c24dcd6,"green squares, pink star",square,yes,type,"two, small, green, square","one, big, pink, star"
No,5f9968d24377ef035c24dcd6,"pink circles, black star",big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5f9968d24377ef035c24dcd6,pink triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5f9968d24377ef035c24dcd6,green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5f9968d24377ef035c24dcd6,"pink big circles, small triangle",circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5f9968d24377ef035c24dcd6,large blue stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5f9968d24377ef035c24dcd6,squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,5f9968d24377ef035c24dcd6,green squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5f9968d24377ef035c24dcd6,"two black squares, green pentagon",square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5f9968d24377ef035c24dcd6,small black pentagons,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5f9968d24377ef035c24dcd6,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5f9968d24377ef035c24dcd6,black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5f9968d24377ef035c24dcd6,"pink stars, green triangle",star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5f9968d24377ef035c24dcd6,small green stars,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5f9968d24377ef035c24dcd6,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5f9968d24377ef035c24dcd6,bigger triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5f9968d24377ef035c24dcd6,"two green pentagons, black square",pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5f9968d24377ef035c24dcd6,"large black triangles, blue star",black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5f9968d24377ef035c24dcd6,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5f9968d24377ef035c24dcd6,"black circles, green triangle",black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5f9968d24377ef035c24dcd6,"blue triangles, black circle",triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5f9968d24377ef035c24dcd6,"two blue squares, green triangle",blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,60061a88cef0ed96c3a26e58,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,60061a88cef0ed96c3a26e58,big pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,60061a88cef0ed96c3a26e58,star and squares,square,yes,type,"two, small, green, square","one, big, pink, star"
No,60061a88cef0ed96c3a26e58,big circles,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,60061a88cef0ed96c3a26e58,triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,60061a88cef0ed96c3a26e58,green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,60061a88cef0ed96c3a26e58,pink circles and blue triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,60061a88cef0ed96c3a26e58,blue stars and pentagon,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,60061a88cef0ed96c3a26e58,squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,60061a88cef0ed96c3a26e58,big squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,60061a88cef0ed96c3a26e58,pentagon and black squares,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,60061a88cef0ed96c3a26e58,"small pentagons, big circle","small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,60061a88cef0ed96c3a26e58,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,60061a88cef0ed96c3a26e58,black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,60061a88cef0ed96c3a26e58,stars and triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,60061a88cef0ed96c3a26e58,small stars,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,60061a88cef0ed96c3a26e58,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,60061a88cef0ed96c3a26e58,big triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,60061a88cef0ed96c3a26e58,square and pentagons,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,60061a88cef0ed96c3a26e58,star and black triangles,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,60061a88cef0ed96c3a26e58,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,60061a88cef0ed96c3a26e58,black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,60061a88cef0ed96c3a26e58,two triangles and circle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,60061a88cef0ed96c3a26e58,blue squares,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,60c5165878a82f763c29536a,the two pentagons and the triangle,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,60c5165878a82f763c29536a,the 2 pentagons and the square.,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,60c5165878a82f763c29536a,2 squares and the star.,square,yes,type,"two, small, green, square","one, big, pink, star"
No,60c5165878a82f763c29536a,the 2 circles and the star.,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,60c5165878a82f763c29536a,2 triangles and the square.,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,60c5165878a82f763c29536a,the two green triangles and the star.,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,60c5165878a82f763c29536a,2 circles and the triangle.,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,60c5165878a82f763c29536a,the 2 stars and the pentagon.,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,60c5165878a82f763c29536a,the 2 squares and the triangle.,square,no,type,"two, big, blue, square","one, small, black, star"
No,60c5165878a82f763c29536a,the two squares and the star,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,60c5165878a82f763c29536a,the 2 squares and the pentagon.,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,60c5165878a82f763c29536a,two pentagons and the circle,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,60c5165878a82f763c29536a,two circles and the square.,circle,no,type,"two, small, black, circle","one, big, green, square"
No,60c5165878a82f763c29536a,the two black stars and the circle,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,60c5165878a82f763c29536a,the 2 stars and the triangle.,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,60c5165878a82f763c29536a,the two small triangles and the square.,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,60c5165878a82f763c29536a,the two stars and the circle,star,no,type,"two, big, green, star","one, small, pink, circle"
No,60c5165878a82f763c29536a,the two triangles and the pentagon,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,60c5165878a82f763c29536a,the 2 pentagons and the square.,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,60c5165878a82f763c29536a,the two triangles and the star.,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,60c5165878a82f763c29536a,the two circles and the pentagon,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,60c5165878a82f763c29536a,the two circles and the triangle,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,60c5165878a82f763c29536a,the two triangles and the circle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,60c5165878a82f763c29536a,the two blue squares and the triangle,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,610fb8ff377a37c16a4edf38,pentagon,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,610fb8ff377a37c16a4edf38,large pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,610fb8ff377a37c16a4edf38,2 squares,square,yes,type,"two, small, green, square","one, big, pink, star"
No,610fb8ff377a37c16a4edf38,large circle,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,610fb8ff377a37c16a4edf38,triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,610fb8ff377a37c16a4edf38,green triangle ,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,610fb8ff377a37c16a4edf38,circles,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,610fb8ff377a37c16a4edf38,blue,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,610fb8ff377a37c16a4edf38,squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,610fb8ff377a37c16a4edf38,green squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,610fb8ff377a37c16a4edf38,squares,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,610fb8ff377a37c16a4edf38,black squares,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,610fb8ff377a37c16a4edf38,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,610fb8ff377a37c16a4edf38,black star,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,610fb8ff377a37c16a4edf38,stars,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,610fb8ff377a37c16a4edf38,small stars,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,610fb8ff377a37c16a4edf38,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,610fb8ff377a37c16a4edf38,big triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,610fb8ff377a37c16a4edf38,2 pentagons,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,610fb8ff377a37c16a4edf38,black triangles,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,610fb8ff377a37c16a4edf38,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,610fb8ff377a37c16a4edf38,black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,610fb8ff377a37c16a4edf38,large blue triangles,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,610fb8ff377a37c16a4edf38,blue,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,612108d49e16751c4b4c54fa,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,612108d49e16751c4b4c54fa,large pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,612108d49e16751c4b4c54fa,squares and star,square,yes,type,"two, small, green, square","one, big, pink, star"
No,612108d49e16751c4b4c54fa,large circles,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,612108d49e16751c4b4c54fa,triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,612108d49e16751c4b4c54fa,small triangles and star,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,612108d49e16751c4b4c54fa,large circles,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,612108d49e16751c4b4c54fa,blue stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,612108d49e16751c4b4c54fa,square star,square,no,type,"two, big, blue, square","one, small, black, star"
No,612108d49e16751c4b4c54fa,green squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,612108d49e16751c4b4c54fa,squares,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,612108d49e16751c4b4c54fa,small pentagons,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,612108d49e16751c4b4c54fa,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,612108d49e16751c4b4c54fa,black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,612108d49e16751c4b4c54fa,pink stars,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,612108d49e16751c4b4c54fa,small stars,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,612108d49e16751c4b4c54fa,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,612108d49e16751c4b4c54fa,large triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,612108d49e16751c4b4c54fa,pentagons,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,612108d49e16751c4b4c54fa,black triangles,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,612108d49e16751c4b4c54fa,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,612108d49e16751c4b4c54fa,black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,612108d49e16751c4b4c54fa,blue triangles,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,612108d49e16751c4b4c54fa,blue squares,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,616446c54ec10a56f2070911,2 pentagons 1 triangle,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,616446c54ec10a56f2070911,"2 large black pentagons, 1 pink square",big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,616446c54ec10a56f2070911,"2 squares, 1 star",square,yes,type,"two, small, green, square","one, big, pink, star"
No,616446c54ec10a56f2070911,"2 large pink circles, 1 star",big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,616446c54ec10a56f2070911,"2 triangles, 1 square",triangle,no,type,"two, small, pink, triangle","one, big, black, square"
